===============================================
30/01/2015 18:26:27 By:frank
===============================================
 122 ,LS_ORDER_ID:INO4357590 ,|---->dosen't exist 
 123 ,LS_ORDER_ID:INO4357473 ,|---->dosen't exist 
 124 ,LS_ORDER_ID:INO4357691 ,|---->dosen't exist 
 125 ,LS_ORDER_ID:INO4357593 ,|---->dosen't exist 
 126 ,LS_ORDER_ID:BIO1142344 ,|---->dosen't exist 
 127 ,LS_ORDER_ID:CAO3212046781 ,|---->dosen't exist 
 128 ,LS_ORDER_ID:ACO39IL3384071 ,|---->dosen't exist 
 129 ,LS_ORDER_ID:ACO39IL3389871 ,|---->dosen't exist 
 130 ,LS_ORDER_ID:ACO39IL3389552 ,|---->dosen't exist 
 131 ,LS_ORDER_ID:ASO2909030994 ,|---->dosen't exist 
 132 ,LS_ORDER_ID:ASO2909035773 ,|---->dosen't exist 
 133 ,LS_ORDER_ID:CAO3212109181 ,|---->dosen't exist 
 134 ,LS_ORDER_ID:ACO39IL3392151 ,|---->dosen't exist 
 135 ,LS_ORDER_ID:ASO2909043154 ,|---->dosen't exist 
 136 ,LS_ORDER_ID:ONO57776130 ,|---->dosen't exist 
 137 ,LS_ORDER_ID:CAO3212156941 ,|---->dosen't exist 
 138 ,LS_ORDER_ID:INO4358461 ,|---->dosen't exist 
 139 ,LS_ORDER_ID:INO4358451 ,|---->dosen't exist 
 140 ,LS_ORDER_ID:INO4358426 ,|---->dosen't exist 
 141 ,LS_ORDER_ID:ACO39IL3394841 ,|---->dosen't exist 
 142 ,LS_ORDER_ID:ACO39IL3393681 ,|---->dosen't exist 
 143 ,LS_ORDER_ID:ACO39IL3394011 ,|---->dosen't exist 
 144 ,LS_ORDER_ID:ACO39IL3393271 ,|---->dosen't exist 
 145 ,LS_ORDER_ID:ACO39IL3395163 ,|---->dosen't exist 
 146 ,LS_ORDER_ID:ACO39IL3393341 ,|---->dosen't exist 
 147 ,LS_ORDER_ID:ACO39IL3393653 ,|---->dosen't exist 
 148 ,LS_ORDER_ID:ACO39IL3394401 ,|---->dosen't exist 
 149 ,LS_ORDER_ID:ACO39IL3393691 ,|---->dosen't exist 
 150 ,LS_ORDER_ID:ACO39IL3393171 ,|---->dosen't exist 
 151 ,LS_ORDER_ID:ACO39IL3393191 ,|---->dosen't exist 
 152 ,LS_ORDER_ID:ACO39IL3394411 ,|---->dosen't exist 
 153 ,LS_ORDER_ID:ASO2909047393 ,|---->dosen't exist 
 154 ,LS_ORDER_ID:ASO2909045971 ,|---->dosen't exist 
 155 ,LS_ORDER_ID:ASO2909051025 ,|---->dosen't exist 
 156 ,LS_ORDER_ID:ASO2909048637 ,|---->dosen't exist 
 157 ,LS_ORDER_ID:CAO3212186531 ,|---->dosen't exist 
 158 ,LS_ORDER_ID:CAO3212176041 ,|---->dosen't exist 
 159 ,LS_ORDER_ID:CAO3212188661 ,|---->dosen't exist 
 160 ,LS_ORDER_ID:CAO3212174172 ,|---->dosen't exist 
 161 ,LS_ORDER_ID:CAO3212174041 ,|---->dosen't exist 
 162 ,LS_ORDER_ID:CAO3212178041 ,|---->dosen't exist 
 163 ,LS_ORDER_ID:CAO3212188073 ,|---->dosen't exist 
 164 ,LS_ORDER_ID:CAO3212181641 ,|---->dosen't exist 
 165 ,LS_ORDER_ID:ONO571349265 ,|---->dosen't exist 
 166 ,LS_ORDER_ID:ONO571349249 ,|---->dosen't exist 
 167 ,LS_ORDER_ID:ONO57776415R3 ,|---->dosen't exist 
 168 ,LS_ORDER_ID:ONO571349378R1 ,|---->dosen't exist 
 169 ,LS_ORDER_ID:ONO571349312 ,|---->dosen't exist 
 170 ,LS_ORDER_ID:ONO571349409 ,|---->dosen't exist 
 171 ,LS_ORDER_ID:RIO10VISADCH1440037 ,|---->dosen't exist 
 172 ,LS_ORDER_ID:CHM20141229R1_1 ,|---->dosen't exist 
 173 ,LS_ORDER_ID:RIO10CMCH1441035R1_1 ,|---->dosen't exist 
 174 ,LS_ORDER_ID:14-49107 ,|---->dosen't exist 
 175 ,LS_ORDER_ID:649778 ,|---->dosen't exist 
 176 ,LS_ORDER_ID:4990210 ,|---->dosen't exist 
 177 ,LS_ORDER_ID:5078817 ,|---->dosen't exist 
 178 ,LS_ORDER_ID:5021807 ,|---->dosen't exist 
 179 ,LS_ORDER_ID:42827 ,|---->dosen't exist 
 180 ,LS_ORDER_ID:CAN0062289 ,|---->dosen't exist 
 181 ,LS_ORDER_ID:5109816 ,|---->dosen't exist 
 182 ,LS_ORDER_ID:645674 ,|---->dosen't exist 
 183 ,LS_ORDER_ID:5106016 ,|---->dosen't exist 
 184 ,LS_ORDER_ID:CAN0060450 ,|---->dosen't exist 
 185 ,LS_ORDER_ID:5082084 ,|---->dosen't exist 
 186 ,LS_ORDER_ID:CAN0062244 ,|---->dosen't exist 
 187 ,LS_ORDER_ID:5105884 ,|---->dosen't exist 
 188 ,LS_ORDER_ID:5116237 ,|---->dosen't exist 
 189 ,LS_ORDER_ID:5115527 ,|---->dosen't exist 
 190 ,LS_ORDER_ID:5110313 ,|---->dosen't exist 
 191 ,LS_ORDER_ID:656850 ,|---->dosen't exist 
 192 ,LS_ORDER_ID:5118203 ,|---->dosen't exist 
 193 ,LS_ORDER_ID:5115968 ,|---->dosen't exist 
 194 ,LS_ORDER_ID:CAO3210986021 ,|---->dosen't exist 
 195 ,LS_ORDER_ID:CAO3211062201 ,|---->dosen't exist 
 196 ,LS_ORDER_ID:INO4350579 ,|---->dosen't exist 
 197 ,LS_ORDER_ID:CAO3211232411 ,|---->dosen't exist 
 198 ,LS_ORDER_ID:CAO3211209871 ,|---->dosen't exist 
 199 ,LS_ORDER_ID:INO4352236 ,|---->dosen't exist 
 200 ,LS_ORDER_ID:CAO3211399701 ,|---->dosen't exist 
 201 ,LS_ORDER_ID:INO4353080 ,|---->dosen't exist 
 202 ,LS_ORDER_ID:CAO3211478021 ,|---->dosen't exist 
 203 ,LS_ORDER_ID:ONO571303896 ,|---->dosen't exist 
 204 ,LS_ORDER_ID:ASO2908955480 ,|---->dosen't exist 
 205 ,LS_ORDER_ID:ONO57767109R1 ,|---->dosen't exist 
 206 ,LS_ORDER_ID:ASO2908976559 ,|---->dosen't exist 
 207 ,LS_ORDER_ID:ACO39IL3349672 ,|---->dosen't exist 
 208 ,LS_ORDER_ID:ACO39IL3355661 ,|---->dosen't exist 
 209 ,LS_ORDER_ID:CAO3211846541 ,|---->dosen't exist 
 210 ,LS_ORDER_ID:ACO39IL3370821 ,|---->dosen't exist 
 211 ,LS_ORDER_ID:ACO39IL3372381 ,|---->dosen't exist 
 212 ,LS_ORDER_ID:CAO3211910091 ,|---->dosen't exist 
 213 ,LS_ORDER_ID:CAO3211896511 ,|---->dosen't exist 
 214 ,LS_ORDER_ID:ACO39IL3377936 ,|---->dosen't exist 
 215 ,LS_ORDER_ID:CAO3211977211 ,|---->dosen't exist 
 216 ,LS_ORDER_ID:ASO2909017637 ,|---->dosen't exist 

===============================================
30/01/2015 18:53:45 By:frank
===============================================

===============================================
30/01/2015 18:58:04 By:frank
===============================================

===============================================
30/01/2015 19:00:21 By:frank
===============================================

===============================================
30/01/2015 19:01:06 By:frank
===============================================

===============================================
30/01/2015 19:02:18 By:frank
===============================================

===============================================
30/01/2015 19:03:23 By:frank
===============================================

===============================================
30/01/2015 19:03:46 By:frank
===============================================

===============================================
30/01/2015 19:04:21 By:frank
===============================================

===============================================
30/01/2015 19:26:12 By:frank
===============================================

===============================================
30/01/2015 19:28:35 By:frank
===============================================

===============================================
30/01/2015 19:29:41 By:frank
===============================================

===============================================
30/01/2015 19:30:40 By:frank
===============================================

===============================================
30/01/2015 19:32:23 By:frank
===============================================

===============================================
30/01/2015 19:32:50 By:frank
===============================================

===============================================
30/01/2015 19:33:26 By:frank
===============================================

===============================================
30/01/2015 19:34:49 By:frank
===============================================

===============================================
30/01/2015 19:35:48 By:frank
===============================================

===============================================
30/01/2015 19:36:26 By:frank
===============================================

===============================================
30/01/2015 19:37:22 By:frank
===============================================

===============================================
30/01/2015 19:37:56 By:frank
===============================================

